name,mana_cost,cmc,type_line,power,toughness,colors,color_identity,produced_mana
Bala Ged Scorpion,{3}{B},4.0,Creature — Scorpion,2,3,['B'],['B'],
Dimir Infiltrator,{U}{B},2.0,Creature — Spirit,1,3,"['B', 'U']","['B', 'U']",
Stomping Ground,,0.0,Land — Mountain Forest,,,[],"['G', 'R']","['G', 'R']"
Invisibility,{U}{U},2.0,Enchantment — Aura,,,['U'],['U'],
Sylvan Advocate,{1}{G},2.0,Creature — Elf Druid Ally,2,3,['G'],['G'],
Worship,{3}{W},4.0,Enchantment,,,['W'],['W'],
Goblin Diplomats,{1}{R},2.0,Creature — Goblin,2,1,['R'],['R'],
Scavenging Ooze,{1}{G},2.0,Creature — Ooze,2,2,['G'],['G'],
Consuming Aberration,{3}{U}{B},5.0,Creature — Horror,*,*,"['B', 'U']","['B', 'U']",
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
Metallurgeon,{1}{W},2.0,Artifact Creature — Human Artificer,1,2,['W'],['W'],
Enfeeblement,{B}{B},2.0,Enchantment — Aura,,,['B'],['B'],
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Lead the Stampede,{2}{G},3.0,Sorcery,,,['G'],['G'],
Naturalize,{1}{G},2.0,Instant,,,['G'],['G'],
Giant Tortoise,{1}{U},2.0,Creature — Turtle,1,1,['U'],['U'],
Unlikely Aid,{1}{B},2.0,Instant,,,['B'],['B'],
Steel of the Godhead,{2}{W/U},3.0,Enchantment — Aura,,,"['U', 'W']","['U', 'W']",
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Mishra's Self-Replicator,{5},5.0,Artifact Creature — Assembly-Worker,2,2,[],[],
Blightspeaker,{1}{B},2.0,Creature — Human Rebel Cleric,1,1,['B'],['B'],
Fierce Invocation,{4}{R},5.0,Sorcery,,,['R'],['R'],
Verix Bladewing,{2}{R}{R},4.0,Legendary Creature — Dragon,4,4,['R'],['R'],
Rhystic Cave,,0.0,Land,,,[],[],"['B', 'G', 'R', 'U', 'W']"
Path of Ancestry,,0.0,Land,,,[],[],"['B', 'G', 'R', 'U', 'W']"
Mortify,{1}{W}{B},3.0,Instant,,,"['B', 'W']","['B', 'W']",
Champions of Archery // Join the Group,{3}{R} // {2}{R},4.0,Legendary Creature — Human Archer // Sorcery — Adventure,1,4,['R'],['R'],
Treasure,,0.0,Token Artifact — Treasure,,,[],[],"['B', 'G', 'R', 'U', 'W']"
Wild Growth,{G},1.0,Enchantment — Aura,,,['G'],['G'],['G']
"Xiahou Dun, the One-Eyed",{2}{B}{B},4.0,Legendary Creature — Human Soldier,3,2,['B'],['B'],
Sabretooth Tiger,{2}{R},3.0,Creature — Cat,2,1,['R'],['R'],
Air Elemental,{3}{U}{U},5.0,Creature — Elemental,4,4,['U'],['U'],
Phylactery Lich,{B}{B}{B},3.0,Creature — Zombie,5,5,['B'],['B'],
Echoing Truth,{1}{U},2.0,Instant,,,['U'],['U'],
Thelonite Hermit,{3}{G},4.0,Creature — Elf Shaman,1,1,['G'],['G'],
Paralyzing Grasp,{2}{U},3.0,Enchantment — Aura,,,['U'],['U'],
Stalking Yeti,{2}{R}{R},4.0,Snow Creature — Yeti,3,3,['R'],['R'],
Hurricane,{X}{G},1.0,Sorcery,,,['G'],['G'],
High Tide,{U},1.0,Instant,,,['U'],['U'],['U']
Steady Aim,{1}{G},2.0,Instant,,,['G'],['G'],
Circle of Protection: Red,{1}{W},2.0,Enchantment,,,['W'],['W'],
Concerted Effort,{2}{W}{W},4.0,Enchantment,,,['W'],['W'],
Swamp,,0.0,Basic Land — Swamp,,,[],['B'],['B']
Rakish Heir,{2}{R},3.0,Creature — Vampire,2,2,['R'],['R'],
The Countdown Is at One,{3}{R}{R},5.0,Sorcery,,,['R'],['R'],
Ferocity,{1}{G},2.0,Enchantment — Aura,,,['G'],['G'],
Nissa Revane,{2}{G}{G},4.0,Legendary Planeswalker — Nissa,,,['G'],['G'],
Null Caller,{3}{B},4.0,Creature — Vampire Shaman,2,4,['B'],['B'],
Goblin Brigand,{1}{R},2.0,Creature — Goblin Warrior,2,2,['R'],['R'],
Leonin Arbiter,{1}{W},2.0,Creature — Cat Cleric,2,2,['W'],['W'],
Rakdos Cackler,{B/R},1.0,Creature — Devil,1,1,"['B', 'R']","['B', 'R']",
Pontiff of Blight,{4}{B}{B},6.0,Creature — Zombie Cleric,2,7,['B'],['B'],
The First Iroan Games,{2}{G},3.0,Enchantment — Saga,,,['G'],['G'],"['B', 'G', 'R', 'U', 'W']"
Epicure of Blood,{4}{B},5.0,Creature — Vampire,4,4,['B'],['B'],
"Brinelin, the Moon Kraken",{6}{U}{U},8.0,Legendary Creature — Kraken,6,8,['U'],['U'],
Wood Sage,{G}{U},2.0,Creature — Human Druid,1,1,"['G', 'U']","['G', 'U']",
Blurred Mongoose,{1}{G},2.0,Creature — Mongoose,2,1,['G'],['G'],
Jungle Basin,,0.0,Land,,,[],['G'],"['C', 'G']"
Cuombajj Witches,{B}{B},2.0,Creature — Human Wizard,1,3,['B'],['B'],
Embercleave,{4}{R}{R},6.0,Legendary Artifact — Equipment,,,['R'],['R'],
Acolyte of Xathrid,{B},1.0,Creature — Human Cleric,0,1,['B'],['B'],
Oxidda Daredevil,{1}{R},2.0,Creature — Goblin Artificer,2,1,['R'],['R'],
Gratuitous Violence,{2}{R}{R}{R},5.0,Enchantment,,,['R'],['R'],
Karn Liberated,{7},7.0,Legendary Planeswalker — Karn,,,[],[],
Primordial Sage,{4}{G}{G},6.0,Creature — Spirit,4,5,['G'],['G'],
Scarecrow,{5},5.0,Artifact Creature — Scarecrow,2,2,[],[],
Blinkmoth Nexus,,0.0,Land,,,[],[],['C']
Intervene,{U},1.0,Instant,,,['U'],['U'],
Leaping Lizard,{1}{G}{G},3.0,Creature — Lizard,2,3,['G'],['G'],
Pollenbright Druid,{1}{G},2.0,Creature — Elf Druid,1,1,['G'],['G'],
"Ma Chao, Western Warrior",{3}{R}{R},5.0,Legendary Creature — Human Soldier Warrior,3,3,['R'],['R'],
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Stingscourger,{1}{R},2.0,Creature — Goblin Warrior,2,2,['R'],['R'],
Gifts Ungiven,{3}{U},4.0,Instant,,,['U'],['U'],
Zur the Enchanter,{1}{W}{U}{B},4.0,Legendary Creature — Human Wizard,1,4,"['B', 'U', 'W']","['B', 'U', 'W']",
Cragganwick Cremator,{2}{R}{R},4.0,Creature — Giant Shaman,5,4,['R'],['R'],
Soul Spike,{5}{B}{B},7.0,Instant,,,['B'],['B'],
Trail of Evidence,{2}{U},3.0,Enchantment,,,['U'],['U'],
Talrand's Invocation,{2}{U}{U},4.0,Sorcery,,,['U'],['U'],
Windrider Eel,{3}{U},4.0,Creature — Fish,2,2,['U'],['U'],
Swamp,,0.0,Basic Land — Swamp,,,[],['B'],['B']
Barry's Land,,0.0,Basic Land — Cloud,,,[],[],['C']
Temple of Epiphany,,0.0,Land,,,[],"['R', 'U']","['R', 'U']"
Stonewise Fortifier,{1}{W},2.0,Creature — Human Wizard,2,2,['W'],['W'],
Crystal Golem,{4},4.0,Artifact Creature — Golem,3,3,[],[],
Annul,{U},1.0,Instant,,,['U'],['U'],
Ghost-Lit Raider,{2}{R},3.0,Creature — Spirit,2,1,['R'],['R'],
Vengevine,{2}{G}{G},4.0,Creature — Elemental,4,3,['G'],['G'],
Bloodfire Kavu,{2}{R}{R},4.0,Creature — Kavu,2,2,['R'],['R'],
Swiftfoot Boots,{2},2.0,Artifact — Equipment,,,[],[],
Sigiled Paladin,{W}{W},2.0,Creature — Human Knight,2,2,['W'],['W'],
Sootstoke Kindler,{1}{B/R},2.0,Creature — Elemental Shaman,1,1,"['B', 'R']","['B', 'R']",
Abrade,{1}{R},2.0,Instant,,,['R'],['R'],
Skizzik Surger,{4}{R}{R},6.0,Creature — Elemental,6,4,['R'],['R'],
Walker,,0.0,Token Creature — Zombie,2,2,['B'],['B'],
Goblin King,{1}{R}{R},3.0,Creature — Goblin,2,2,['R'],['R'],
Mogg Squad,{1}{R},2.0,Creature — Goblin,3,3,['R'],['R'],
Armor of Faith,{W},1.0,Enchantment — Aura,,,['W'],['W'],
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
Worthy Knight,{1}{W},2.0,Creature — Human Knight,2,2,['W'],['W'],
Heavy Infantry,{4}{W},5.0,Creature — Human Soldier,3,4,['W'],['W'],
Windswept Heath,,0.0,Land,,,[],[],
Thran Quarry,,0.0,Land,,,[],[],"['B', 'G', 'R', 'U', 'W']"
Brine Shaman,{1}{B},2.0,Creature — Human Cleric Shaman,1,1,['B'],"['B', 'U']",
Drag Down,{2}{B},3.0,Instant,,,['B'],['B'],
Sea Gate Stormcaller,{1}{U},2.0,Creature — Human Wizard,2,1,['U'],['U'],
Stun,{1}{R},2.0,Instant,,,['R'],['R'],
Goblin Piledriver,{1}{R},2.0,Creature — Goblin Warrior,1,2,['R'],['R'],
"Ghen, Arcanum Weaver",{R}{W}{B},3.0,Legendary Creature — Human Wizard,2,3,"['B', 'R', 'W']","['B', 'R', 'W']",
Hallowed Ground,{1}{W},2.0,Enchantment,,,['W'],['W'],
Soulquake,{3}{U}{U}{B}{B},7.0,Sorcery,,,"['B', 'U']","['B', 'U']",
Immaculate Magistrate,{3}{G},4.0,Creature — Elf Shaman,2,2,['G'],['G'],
Spirit,,0.0,Token Creature — Spirit,1,1,['W'],['W'],
Silent Sentinel,{5}{W}{W},7.0,Creature — Archon,4,6,['W'],['W'],
Regeneration,{1}{G},2.0,Enchantment — Aura,,,['G'],['G'],
Furnace of Rath,{1}{R}{R}{R},4.0,Enchantment,,,['R'],['R'],
Lydari Druid,{2}{G},3.0,Creature — Druid,2,2,['G'],['G'],
Grizzled Outcasts // Krallenhorde Wantons,,5.0,Creature — Human Werewolf // Creature — Werewolf,,,,['G'],
"Kaervek, the Spiteful",{2}{B}{B},4.0,Legendary Creature — Human Warlock,3,2,['B'],['B'],
Anaba Shaman,{3}{R},4.0,Creature — Minotaur Shaman,2,2,['R'],['R'],
Forgotten Lore,{G},1.0,Sorcery,,,['G'],['G'],
Rattleblaze Scarecrow,{6},6.0,Artifact Creature — Scarecrow,5,3,[],[],
Curiosity,{U},1.0,Enchantment — Aura,,,['U'],['U'],
Shadowcloak Vampire,{4}{B},5.0,Creature — Vampire,4,3,['B'],['B'],
Miscalculation,{1}{U},2.0,Instant,,,['U'],['U'],
Sunweb,{3}{W},4.0,Creature — Wall,5,6,['W'],['W'],
Regathan Firecat,{2}{R},3.0,Creature — Elemental Cat,4,1,['R'],['R'],
Elder Mastery,{3}{U}{B}{R},6.0,Enchantment — Aura,,,"['B', 'R', 'U']","['B', 'R', 'U']",
Release to the Wind,{2}{U},3.0,Instant,,,['U'],['U'],
Drider // Drider,,0.0,Card // Card,,,,[],
Liquimetal Torque,{2},2.0,Artifact,,,[],[],['C']
Corrupt,{5}{B},6.0,Sorcery,,,['B'],['B'],
Deputy of Acquittals,{W}{U},2.0,Creature — Human Wizard,2,2,"['U', 'W']","['U', 'W']",
The Brute,{1}{R},2.0,Enchantment — Aura,,,['R'],['R'],
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Dark Salvation,{X}{X}{B},1.0,Sorcery,,,['B'],['B'],
Rupture Spire,,0.0,Land,,,[],[],"['B', 'G', 'R', 'U', 'W']"
Thunderstaff,{3},3.0,Artifact,,,[],[],
Lucky Clover,{2},2.0,Artifact,,,[],[],
Kindle the Carnage,{1}{R}{R},3.0,Sorcery,,,['R'],['R'],
Rupture Spire,,0.0,Land,,,[],[],"['B', 'G', 'R', 'U', 'W']"
Windswept Heath,,0.0,Land,,,[],[],
Will-o'-the-Wisp,{B},1.0,Creature — Spirit,0,1,['B'],['B'],
Merfolk of the Pearl Trident,{U},1.0,Creature — Merfolk,1,1,['U'],['U'],
Renegade Firebrand,{2}{R},3.0,Creature — Human Warrior,3,2,['R'],['R'],
Rogue,,0.0,Token Creature — Rogue,2,2,['B'],['B'],
"Kiora, Master of the Depths",{2}{G}{U},4.0,Legendary Planeswalker — Kiora,,,"['G', 'U']","['G', 'U']",
Psychic Venom,{1}{U},2.0,Enchantment — Aura,,,['U'],['U'],
Wall of Omens,{1}{W},2.0,Creature — Wall,0,4,['W'],['W'],
Retreat to Emeria,{3}{W},4.0,Enchantment,,,['W'],['W'],
Part Water,{X}{X}{U},1.0,Sorcery,,,['U'],['U'],
Dregscape Zombie,{1}{B},2.0,Creature — Zombie,2,1,['B'],['B'],
Whip Vine,{2}{G},3.0,Creature — Plant Wall,1,4,['G'],['G'],
Nantuko Shrine,{1}{G}{G},3.0,Enchantment,,,['G'],['G'],
Gargadon,{5}{R}{R},7.0,Creature — Beast,7,5,['R'],['R'],
Fecundity,{2}{G},3.0,Enchantment,,,['G'],['G'],
Abomination of Llanowar,{1}{B}{G},3.0,Legendary Creature — Elf Horror,*,*,"['B', 'G']","['B', 'G']",
Snake Umbra,{2}{G},3.0,Enchantment — Aura,,,['G'],['G'],
Kaalia of the Vast,{1}{R}{W}{B},4.0,Legendary Creature — Human Cleric,2,2,"['B', 'R', 'W']","['B', 'R', 'W']",
Flying Carpet,{4},4.0,Artifact,,,[],[],
Oasis,,0.0,Land,,,[],[],
Spell Contortion,{2}{U},3.0,Instant,,,['U'],['U'],
Whalebone Glider,{2},2.0,Artifact,,,[],[],
Impelled Giant,{4}{R}{R},6.0,Creature — Giant Warrior,3,3,['R'],['R'],
Flight of Fancy,{3}{U},4.0,Enchantment — Aura,,,['U'],['U'],
"Mikaeus, the Unhallowed",{3}{B}{B}{B},6.0,Legendary Creature — Zombie Cleric,5,5,['B'],['B'],
Circle of Protection: Blue,{1}{W},2.0,Enchantment,,,['W'],['W'],
Mirrorwing Dragon,{3}{R}{R},5.0,Creature — Dragon,4,5,['R'],['R'],
Arbor Elf,{G},1.0,Creature — Elf Druid,1,1,['G'],['G'],
Swamp,,0.0,Basic Land — Swamp,,,[],['B'],['B']
Goblin Mutant,{2}{R}{R},4.0,Creature — Goblin Mutant,5,3,['R'],['R'],
Reya Dawnbringer,{6}{W}{W}{W},9.0,Legendary Creature — Angel,4,6,['W'],['W'],
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
Mastery of the Unseen,{1}{W},2.0,Enchantment,,,['W'],['W'],
Divine Offering,{1}{W},2.0,Instant,,,['W'],['W'],
Regeneration,{1}{G},2.0,Enchantment — Aura,,,['G'],['G'],
Show and Tell,{2}{U},3.0,Sorcery,,,['U'],['U'],
Gravedigger,{3}{B},4.0,Creature — Zombie,2,2,['B'],['B'],
Hissing Iguanar,{2}{R},3.0,Creature — Lizard,3,1,['R'],['R'],
Skullsnatcher,{1}{B},2.0,Creature — Rat Ninja,2,1,['B'],['B'],
Salvage Drone,{U},1.0,Creature — Eldrazi Drone,1,1,[],['U'],
Kitesail Corsair,{1}{U},2.0,Creature — Human Pirate,2,1,['U'],['U'],
Maze of Ith,,0.0,Land,,,[],[],
Experimental Frenzy,{3}{R},4.0,Enchantment,,,['R'],['R'],
Savage Vigor Head,,0.0,Token Elite Creature — Head,0,8,[],[],
Harmonize,{2}{G}{G},4.0,Sorcery,,,['G'],['G'],
Elaborate Firecannon,{2},2.0,Artifact,,,[],[],
Beast,,0.0,Token Creature — Beast,3,3,['G'],['G'],
Perilous Myr,{2},2.0,Artifact Creature — Phyrexian Myr,1,1,[],[],
Screeching Phoenix,{4}{R}{R},6.0,Creature — Phoenix,4,4,['R'],['R'],
Castle Raptors,{4}{W},5.0,Creature — Bird Soldier,3,3,['W'],['W'],
Deem Worthy,{4}{R},5.0,Instant,,,['R'],['R'],
Winter Orb,{2},2.0,Artifact,,,[],[],
Crusade,{W}{W},2.0,Enchantment,,,['W'],['W'],
Spirit,,0.0,Token Creature — Spirit,1,1,['W'],['W'],
Dragonstorm,{8}{R},9.0,Sorcery,,,['R'],['R'],
Relic Vial,{3},3.0,Artifact,,,[],[],
Triton Cavalry,{3}{U},4.0,Creature — Merfolk Soldier,2,4,['U'],['U'],
Fleeting Memories,{2}{U},3.0,Enchantment,,,['U'],['U'],
Young Pyromancer,{1}{R},2.0,Creature — Human Shaman,2,1,['R'],['R'],
Paladin of the Bloodstained,{3}{W},4.0,Creature — Vampire Knight,3,2,['W'],['W'],
Ghor-Clan Savage,{3}{G}{G},5.0,Creature — Centaur Berserker,2,3,['G'],['G'],
Circle of Protection: Red,{1}{W},2.0,Enchantment,,,['W'],['W'],
Augury Adept,{1}{W/U}{W/U},3.0,Creature — Kithkin Wizard,2,2,"['U', 'W']","['U', 'W']",
Labyrinth of Skophos,,0.0,Land,,,[],[],['C']
Naya Panorama,,0.0,Land,,,[],[],['C']
The Hippodrome,,0.0,Plane — Segovia,,,[],[],
"Squee, Goblin Nabob",{2}{R},3.0,Legendary Creature — Goblin,1,1,['R'],['R'],
Northern Paladin,{2}{W}{W},4.0,Creature — Human Knight,3,3,['W'],['W'],
Eerie Interlude,{2}{W},3.0,Instant,,,['W'],['W'],
Memory Erosion,{1}{U}{U},3.0,Enchantment,,,['U'],['U'],
"Lonis, Cryptozoologist",{G}{U},2.0,Legendary Creature — Snake Elf Scout,1,2,"['G', 'U']","['G', 'U']",
Heartwood Giant,{3}{G}{G},5.0,Creature — Giant,4,4,['G'],['G'],
Nightmarish End,{2}{B},3.0,Instant,,,['B'],['B'],
Terminate,{B}{R},2.0,Instant,,,"['B', 'R']","['B', 'R']",
Sunglasses of Urza,{3},3.0,Artifact,,,[],[],
Kami of Lunacy,{4}{B}{B},6.0,Creature — Spirit,4,1,['B'],['B'],
Freyalise's Radiance,{1}{G},2.0,Enchantment,,,['G'],['G'],
Odds // Ends,{U}{R} // {3}{R}{W},7.0,Instant // Instant,,,"['R', 'U', 'W']","['R', 'U', 'W']",
Humble Defector,{1}{R},2.0,Creature — Human Rogue,2,1,['R'],['R'],
Titania's Song,{3}{G},4.0,Enchantment,,,['G'],['G'],
Overrun,{2}{G}{G}{G},5.0,Sorcery,,,['G'],['G'],
Immersturm Skullcairn // Immersturm Skullcairn,,0.0,Card // Card,,,,[],
Combat Celebrant,{2}{R},3.0,Creature — Human Warrior,4,1,['R'],['R'],
Mycoid Shepherd,{1}{G}{G}{W},4.0,Creature — Fungus,5,4,"['G', 'W']","['G', 'W']",
Mountain,,0.0,Basic Land — Mountain,,,[],['R'],['R']
Goblin Elite Infantry,{1}{R},2.0,Creature — Goblin Warrior,2,2,['R'],['R'],
Natural Order,{2}{G}{G},4.0,Sorcery,,,['G'],['G'],
Elf Warrior,,0.0,Token Creature — Elf Warrior,1,1,['G'],['G'],
Cloud Dragon,{5}{U},6.0,Creature — Illusion Dragon,5,4,['U'],['U'],
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
Storm Sculptor,{3}{U},4.0,Creature — Merfolk Wizard,3,2,['U'],['U'],
Hill Giant,{3}{R},4.0,Creature — Giant,3,3,['R'],['R'],
Desert Cerodon,{5}{R},6.0,Creature — Beast,6,4,['R'],['R'],
Meddling Mage,{W}{U},2.0,Creature — Human Wizard,2,2,"['U', 'W']","['U', 'W']",
Gatekeeper Gargoyle,{6},6.0,Artifact Creature — Gargoyle,3,3,[],[],
Bontu the Glorified,{2}{B},3.0,Legendary Creature — God,4,6,['B'],['B'],
Skeletal Vampire,{4}{B}{B},6.0,Creature — Vampire Skeleton,3,3,['B'],['B'],
Reiterate,{1}{R}{R},3.0,Instant,,,['R'],['R'],
Mountain,,0.0,Basic Land — Mountain,,,[],['R'],['R']
Aether Hub,,0.0,Land,,,[],[],"['B', 'C', 'G', 'R', 'U', 'W']"
Serum Visions,{U},1.0,Sorcery,,,['U'],['U'],
Shivan Wurm,{3}{R}{G},5.0,Creature — Wurm,7,7,"['G', 'R']","['G', 'R']",
Conduit of Ruin,{6},6.0,Creature — Eldrazi,5,5,[],[],
Firemind's Research,{U}{R},2.0,Enchantment,,,"['R', 'U']","['R', 'U']",
Peace Strider,{4},4.0,Artifact Creature — Construct,3,3,[],[],
Storm's Wrath,{2}{R}{R},4.0,Sorcery,,,['R'],['R'],
Goblin,,0.0,Token Creature — Goblin,1,1,['R'],['R'],
Taj-Nar Swordsmith,{3}{W},4.0,Creature — Cat Soldier,2,3,['W'],['W'],
Black Vise,{1},1.0,Artifact,,,[],[],
Riptide Pilferer,{1}{U},2.0,Creature — Merfolk Rogue,1,1,['U'],['U'],
Drizzt Do'Urden,{3}{G}{W},5.0,Legendary Creature — Elf Ranger,3,3,"['G', 'W']","['G', 'W']",
Skull Catapult,{4},4.0,Artifact,,,[],[],
Reveillark,{4}{W},5.0,Creature — Elemental,4,3,['W'],['W'],
Supreme Phantom,{1}{U},2.0,Creature — Spirit,1,3,['U'],['U'],
Fireflux Squad,{3}{R},4.0,Creature — Human Soldier,4,3,['R'],['R'],
Walker of Secret Ways,{2}{U},3.0,Creature — Human Ninja,1,2,['U'],['U'],
"Domri, Chaos Bringer",{2}{R}{G},4.0,Legendary Planeswalker — Domri,,,"['G', 'R']","['G', 'R']","['G', 'R']"
Canyon Wildcat,{1}{R},2.0,Creature — Cat,2,1,['R'],['R'],
Baneslayer Angel,{3}{W}{W},5.0,Creature — Angel,5,5,['W'],['W'],
Two-Headed Giant of Foriys,{4}{R},5.0,Creature — Giant,4,4,['R'],['R'],
Tresserhorn Sinks,,0.0,Snow Land,,,[],"['B', 'R']","['B', 'R']"
Elvish Warrior,{G}{G},2.0,Creature — Elf Warrior,2,3,['G'],['G'],
Glasses of Urza,{1},1.0,Artifact,,,[],[],
Crash Through,{R},1.0,Sorcery,,,['R'],['R'],
Mana Prism,{3},3.0,Artifact,,,[],[],"['B', 'C', 'G', 'R', 'U', 'W']"
Voidmage Prodigy,{U}{U},2.0,Creature — Human Wizard,2,1,['U'],['U'],
Sphere of Duty,{3}{W},4.0,Enchantment,,,['W'],['W'],
Cabal Archon,{2}{B},3.0,Creature — Human Cleric,2,2,['B'],['B'],
Ripjaw Raptor,{2}{G}{G},4.0,Creature — Dinosaur,4,5,['G'],['G'],
Devout Chaplain,{2}{W},3.0,Creature — Human Cleric,2,2,['W'],['W'],
Mountain,,0.0,Basic Land — Mountain,,,[],['R'],['R']
Drafna's Restoration,{U},1.0,Sorcery,,,['U'],['U'],
Fetid Horror,{3}{B},4.0,Creature — Shade Horror,1,2,['B'],['B'],
Raise the Alarm,{1}{W},2.0,Instant,,,['W'],['W'],
Thalia's Lieutenant,{1}{W},2.0,Creature — Human Soldier,1,1,['W'],['W'],
Crusade,{W}{W},2.0,Enchantment,,,['W'],['W'],
Plummet,{1}{G},2.0,Instant,,,['G'],['G'],
White Knight,{W}{W},2.0,Creature — Human Knight,2,2,['W'],['W'],
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Return to Nature,{1}{G},2.0,Instant,,,['G'],['G'],
Grisly Salvage,{B}{G},2.0,Instant,,,"['B', 'G']","['B', 'G']",
"Lavinia, Azorius Renegade",{W}{U},2.0,Legendary Creature — Human Soldier,2,2,"['U', 'W']","['U', 'W']",
Kitesail,{2},2.0,Artifact — Equipment,,,[],[],
Void Shatter,{1}{U}{U},3.0,Instant,,,[],['U'],
Charge of the Forever-Beast,{2}{G},3.0,Sorcery,,,['G'],['G'],
Prized Amalgam,{1}{U}{B},3.0,Creature — Zombie,3,3,"['B', 'U']","['B', 'U']",
Crystal Rod,{1},1.0,Artifact,,,[],[],
Bristling Hydra,{2}{G}{G},4.0,Creature — Hydra,4,3,['G'],['G'],
Plated Rootwalla,{4}{G},5.0,Creature — Lizard,3,3,['G'],['G'],
Magma Spray,{R},1.0,Instant,,,['R'],['R'],
Myr Sire,{2},2.0,Artifact Creature — Phyrexian Myr,1,1,[],[],
"Krenko, Tin Street Kingpin",{2}{R},3.0,Legendary Creature — Goblin,1,2,['R'],['R'],
Naturalize,{1}{G},2.0,Instant,,,['G'],['G'],
Insidious Bookworms,{B},1.0,Creature — Worm,1,1,['B'],['B'],
Aven Mindcensor,{2}{W},3.0,Creature — Bird Wizard,2,1,['W'],['W'],
Imperious Perfect,{2}{G},3.0,Creature — Elf Warrior,2,2,['G'],['G'],
Hobblefiend,{1}{R},2.0,Creature — Devil,2,1,['R'],['R'],
Tattered Mummy,{1}{B},2.0,Creature — Zombie Jackal,1,2,['B'],['B'],
Dark Confidant,{1}{B},2.0,Creature — Human Wizard,2,1,['B'],['B'],
Furnace Whelp,{2}{R}{R},4.0,Creature — Dragon,2,2,['R'],['R'],
Forge of Heroes,,0.0,Land,,,[],[],['C']
Rishadan Dockhand,{U},1.0,Creature — Merfolk,1,2,['U'],['U'],
Sage Aven,{3}{U},4.0,Creature — Bird Wizard,1,3,['U'],['U'],
Cogworker's Puzzleknot,{2},2.0,Artifact,,,[],['W'],
Ancestral Recall,{U},1.0,Instant,,,['U'],['U'],
Three Dreams,{4}{W},5.0,Sorcery,,,['W'],['W'],
Frazzled Editor,{1}{R},2.0,Creature — Human Bureaucrat,2,2,['R'],['R'],
Salamander Warrior,,0.0,Token Creature — Salamander Warrior,4,3,['U'],['U'],
Snow-Covered Forest,,0.0,Basic Snow Land — Forest,,,[],['G'],['G']
Circle of Protection: Black,{1}{W},2.0,Enchantment,,,['W'],['W'],
Leyline of Anticipation,{2}{U}{U},4.0,Enchantment,,,['U'],['U'],
Defiant Vanguard,{2}{W},3.0,Creature — Human Rebel,2,2,['W'],['W'],
Renewed Faith,{2}{W},3.0,Instant,,,['W'],['W'],
Angry Mob,{2}{W}{W},4.0,Creature — Human,2+*,2+*,['W'],['W'],
Channel,{G}{G},2.0,Sorcery,,,['G'],['G'],['C']
Steel Hellkite,{6},6.0,Artifact Creature — Dragon,5,5,[],[],
Kitchen Finks,{1}{G/W}{G/W},3.0,Creature — Ouphe,3,2,"['G', 'W']","['G', 'W']",
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Feldon of the Third Path,{1}{R}{R},3.0,Legendary Creature — Human Artificer,2,3,['R'],['R'],
Serra Avatar,{4}{W}{W}{W},7.0,Creature — Avatar,*,*,['W'],['W'],
Lorescale Coatl,{1}{G}{U},3.0,Creature — Snake,2,2,"['G', 'U']","['G', 'U']",
City of Traitors,,0.0,Land,,,[],[],['C']
Chatterstorm,{1}{G},2.0,Sorcery,,,['G'],['G'],
Akoum Refuge,,0.0,Land,,,[],"['B', 'R']","['B', 'R']"
Selesnya Guildgate,,0.0,Land — Gate,,,[],"['G', 'W']","['G', 'W']"
Triangle of War,{1},1.0,Artifact,,,[],[],
Monologue Tax,{2}{W},3.0,Enchantment,,,['W'],['W'],
Martyr's Cause,{2}{W},3.0,Enchantment,,,['W'],['W'],
Fire Prophecy,{1}{R},2.0,Instant,,,['R'],['R'],
Viridian Zealot,{G}{G},2.0,Creature — Elf Warrior,2,1,['G'],['G'],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Sanctum of Serra,,0.0,Plane — Serra’s Realm,,,[],[],
Priest of Titania,{1}{G},2.0,Creature — Elf Druid,1,1,['G'],['G'],['G']
Wheel of Fortune,{2}{R},3.0,Sorcery,,,['R'],['R'],
Sylvan Ranger,{1}{G},2.0,Creature — Elf Scout Ranger,1,1,['G'],['G'],
Feldon of the Third Path,{1}{R}{R},3.0,Legendary Creature — Human Artificer,2,3,['R'],['R'],
Corpse Connoisseur,{4}{B},5.0,Creature — Zombie Wizard,3,3,['B'],['B'],
Treefolk Seedlings,{2}{G},3.0,Creature — Treefolk,2,*,['G'],['G'],
Infernal Spawn of Evil,{6}{B}{B}{B},9.0,Creature — Beast,7,7,['B'],['B'],
Ob Nixilis of the Black Oath Emblem,,0.0,Emblem — Nixilis,,,[],[],
